Data info
File name: C:\TP_RESA_PERCAGE\TP11\Alu2017-T4-Vc61-f0.05BC-DRY.dxd
Start time: 05/12/2017 11:35:43,734
Number of channels: 4
Sample rate: 1000
Store type: Toujours rapide


Data1

Time [s]	Fx [N]	Fy [N]	Fz [N]	Mz [Nm]
0	-8.1026773	-8.1594687	-35.248703	0.24513915
0.001	-8.1951246	-8.129714	-35.089378	0.2483739
0.002	-8.2150087	-8.1801395	-34.750347	0.24800375
0.003	-8.2364664	-8.1514225	-35.088306	0.24475828
0.004	-8.1911545	-8.1659775	-35.183254	0.24826124
0.005	-8.1955538	-8.1141214	-34.971359	0.24494067
0.006	-8.2416878	-8.1779938	-34.992817	0.24271443
0.007	-8.160327	-8.2121477	-34.804527	0.24922147
0.008	-8.1564646	-8.1540689	-34.846905	0.24582043
0.009	-8.2693682	-8.1380825	-34.967068	0.2475746
0.01	-8.1414442	-8.1600771	-34.756783	0.25139943
0.011	-8.1840382	-8.1237059	-34.742836	0.24474755
0.012	-8.2051735	-8.1549988	-34.864609	0.2460672
0.013	-8.2355003	-8.0839376	-34.934345	0.24122313
0.014	-8.2217321	-8.2104664	-34.96117	0.24396434
0.015	-8.1564646	-8.2184772	-34.947758	0.24450079
0.016	-8.2021341	-8.1441269	-35.110298	0.24477974
0.017	-8.2657557	-8.1784945	-35.116737	0.24667338
0.018	-8.1525307	-8.2005606	-35.017494	0.24505332
0.019	-8.1341486	-8.1213102	-35.123711	0.24518743
0.02	-8.2542763	-8.1900463	-35.006767	0.24518743
0.021	-8.248661	-8.162652	-35.222416	0.24603501
0.022	-8.2396488	-8.159934	-35.25782	0.24305239
0.023	-8.19491	-8.1656914	-35.243336	0.24579361
0.024	-8.2430468	-8.0973492	-35.26104	0.24534836
0.025	-8.1991653	-8.1826429	-34.840469	0.24585798
0.026	-8.0916986	-8.1485252	-34.876945	0.24708107
0.027	-8.2145433	-8.1141214	-34.902161	0.24237111
0.028	-8.2697258	-8.1817493	-34.960094	0.24422184
0.029	-8.1207733	-8.1203804	-34.859779	0.24687186
0.03	-8.1895094	-8.1516724	-34.962776	0.2458097
0.031	-8.2231627	-8.1629019	-35.03466	0.24913028
0.032	-8.2369671	-8.1194143	-35.135513	0.24812177
